This table lists all knockdown/RNA-seq ENCODE experiments examined while
looking for LARS splicing regulators. The File column shows the rMATS
differential splicing quantifications file accession from each experiment.
Experiments missing this file were not included in the search.

CellLine Target    Experiment  File       
K562     SRSF1     ENCSR066VOO ENCFF707RAF
K562     SRSF5     ENCSR906RHU ENCFF583VTY
K562     SRSF7     ENCSR464ADT            
K562     SSB       ENCSR891AXF ENCFF577UDS
K562     SSRP1     ENCSR902WSK ENCFF437VBT
K562     STAU1     ENCSR777EDL ENCFF018MCR
K562     STIP1     ENCSR082UWF ENCFF550GFC
K562     SUB1      ENCSR047AJA ENCFF016PCX
K562     SUCLG1    ENCSR101OPF ENCFF306VJJ
K562     SUGP2     ENCSR192BPV ENCFF529NIZ
K562     SUPT6H    ENCSR530BOP ENCFF378LDV
K562     SUPV3L1   ENCSR778SIU ENCFF611REF
K562     TAF15     ENCSR611ZAL ENCFF911YRE
K562     TAF15     ENCSR031RZS ENCFF911YRE
K562     TARDBP    ENCSR455TNF ENCFF867OGE
K562     TARDBP    ENCSR134JRE ENCFF867OGE
K562     TBRG4     ENCSR079IPT ENCFF037LGQ
K562     TFIP11    ENCSR911DGK ENCFF451VHL
K562     TIA1      ENCSR694LKY ENCFF584EWM
K562     TIAL1     ENCSR927TSP ENCFF435QCO
K562     TRA2A     ENCSR916WOI ENCFF154PED
K562     TRIM56    ENCSR300QFQ ENCFF549CVO
K562     TRIP6     ENCSR152IWT ENCFF633ELM
K562     TROVE2    ENCSR060KRD ENCFF598IIY
K562     TUFM      ENCSR602AWR ENCFF130ASM
K562     U2AF1     ENCSR342EDG ENCFF404KPH
K562     U2AF2     ENCSR904CJQ ENCFF468ZZD
K562     UBE2L3    ENCSR362XMY ENCFF080LXL
K562     UCHL5     ENCSR678MVE ENCFF467NVW
K562     UPF1      ENCSR251ABP ENCFF864OIM
K562     UPF2      ENCSR810FHY ENCFF370MSX
K562     UTP18     ENCSR165VBD ENCFF571BIQ
K562     UTP3      ENCSR818TZM ENCFF662ZBY
K562     WDR3      ENCSR334BTA ENCFF726HHB
K562     WDR43     ENCSR341PZW ENCFF208SEB
K562     WRN       ENCSR165BCF ENCFF710BWH
K562     XPO5      ENCSR453HKS ENCFF595SNA
K562     XRCC5     ENCSR715XZS ENCFF574IUQ
K562     XRCC6     ENCSR232CPD ENCFF740OOP
K562     XRN2      ENCSR717SJA ENCFF740XRM
K562     YBX3      ENCSR306EIU ENCFF566DSC
K562     YTHDC2    ENCSR843LYF ENCFF503PZO
